date,game_id,week,season,home,away,p_home,p_elo,model,result,selected,model_spread,model_total,cal,pick_side,pick_team,pick_prob
2024-09-21,401635557,4,2024,SMU,TCU,0.6392446539675447,0.6342929717780263,v1-backfill,24.0,,,,,,,
2024-09-21,401641028,4,2024,Colorado State,UTEP,0.678077421955935,0.7080128419174913,v1-backfill,10.0,,,,,,,
2024-09-21,401640991,4,2024,Liberty,East Carolina,0.7498352438961838,0.8578489422701303,v1-backfill,11.0,,,,,,,
2024-09-21,401628491,4,2024,Washington,Northwestern,0.7758389146003353,0.7989428012666047,v1-backfill,19.0,,,,,,,
2024-09-21,401629031,4,2024,UConn,Florida Atlantic,0.5981946437427496,0.5925003494747157,v1-backfill,34.0,,,,,,,
2024-09-21,401635551,4,2024,Florida State,California,0.5732076837952957,0.5415829304409837,v1-backfill,5.0,,,,,,,
2024-09-21,401635555,4,2024,South Florida,Miami,0.1571040907817392,0.4205280268882167,v1-backfill,-35.0,,,,,,,
2024-09-21,401641008,4,2024,Louisiana Tech,Tulsa,0.5217826708159873,0.498672157571507,v1-backfill,-3.0,,,,,,,
2024-09-21,401641034,4,2024,Sam Houston,New Mexico State,0.6279372735611397,0.4956047943543312,v1-backfill,20.0,,,,,,,
2024-09-21,401641037,4,2024,Western Kentucky,Toledo,0.4034136351786938,0.4413038600315331,v1-backfill,5.0,,,,,,,
2024-09-21,401643716,4,2024,North Texas,Wyoming,0.6482910972407677,0.7038800800528708,v1-backfill,27.0,,,,,,,
2024-09-21,401628369,4,2024,Oklahoma,Tennessee,0.3420499098301516,0.5080248131230739,v1-backfill,-10.0,,,,,,,
2024-09-21,401628370,4,2024,South Carolina,Akron,0.966753773207032,0.9041610108305008,v1-backfill,43.0,,,,,,,
2024-09-21,401628372,4,2024,Texas A&M,Bowling Green,0.890986678862403,0.6925134782183092,v1-backfill,6.0,,,,,,,
2024-09-21,401628487,4,2024,Minnesota,Iowa,0.4756890967153622,0.4019094271469136,v1-backfill,-17.0,,,,,,,
2024-09-21,401628366,4,2024,Ole Miss,Georgia Southern,0.9728268017981668,0.8978756475090083,v1-backfill,39.0,,,,,,,
2024-09-22,401628371,4,2024,Texas,UL Monroe,0.9904940107326492,0.9604520694099136,v1-backfill,48.0,,,,,,,
2024-09-22,401628490,4,2024,Boston College,Michigan State,0.6686375871234461,0.5465996262342495,v1-backfill,4.0,,,,,,,
2024-09-22,401636874,4,2024,Colorado,Baylor,0.3599504540555159,0.4433449094579873,v1-backfill,7.0,,,,,,,
2024-09-22,401643711,4,2024,New Mexico,Fresno State,0.1459337343810079,0.1231684022044974,v1-backfill,-17.0,,,,,,,
2024-09-22,401643717,4,2024,Oregon State,Purdue,0.7246622354055449,0.751173132899658,v1-backfill,17.0,,,,,,,
2024-09-22,401636872,4,2024,BYU,Kansas State,0.256550202138959,0.2566134773139705,v1-backfill,29.0,,,,,,,
2024-09-26,401645331,5,2024,Temple,Army,0.1775931042837529,0.1917856706413595,v1-backfill,-28.0,,,,,,,
2024-09-27,401634767,5,2024,Miami,Virginia Tech,0.7897050491267162,0.6956158837943297,v1-backfill,4.0,,,,,,,
2024-09-28,401628501,5,2024,Rutgers,Washington,0.391517454468047,0.2592726631970955,v1-backfill,3.0,,,,,,,
2024-09-28,401628377,5,2024,Ole Miss,Kentucky,0.8463362904666311,0.8017059028829567,v1-backfill,-3.0,,,,,,,
2024-09-28,401628496,5,2024,Indiana,Maryland,0.6059412674796426,0.4505437845065818,v1-backfill,14.0,,,,,,,
2024-09-28,401628497,5,2024,Michigan,Minnesota,0.8634209084212656,0.9221133252857392,v1-backfill,3.0,,,,,,,
2024-09-28,401628499,5,2024,Purdue,Nebraska,0.4066697412610093,0.490902873895935,v1-backfill,-18.0,,,,,,,
2024-09-28,401629032,5,2024,UConn,Buffalo,0.6900314945730289,0.5659021274732443,v1-backfill,44.0,,,,,,,
2024-09-28,401635560,5,2024,Boston College,Western Kentucky,0.8086768090401226,0.5010505496285801,v1-backfill,1.0,,,,,,,
2024-09-28,401635564,5,2024,NC State,Northern Illinois,0.7937357730997187,0.6858489865728408,v1-backfill,7.0,,,,,,,
2024-09-28,401636880,5,2024,Baylor,BYU,0.396969907115319,0.2677196098877611,v1-backfill,-6.0,,,,,,,
2024-09-28,401636883,5,2024,Kansas State,Oklahoma State,0.6519116405905663,0.6672968060705291,v1-backfill,22.0,,,,,,,
2024-09-28,401645332,5,2024,UAB,Navy,0.3143035986882141,0.2768190100753649,v1-backfill,-23.0,,,,,,,
2024-09-28,401645337,5,2024,Tulane,South Florida,0.7693411816671424,0.7351293273931105,v1-backfill,35.0,,,,,,,
2024-09-28,401643793,5,2024,James Madison,Ball State,0.920304364420383,0.9179670678175678,v1-backfill,56.0,,,,,,,
2024-09-28,401641041,5,2024,Sam Houston,Texas State,0.3883837995030788,0.3538179427168511,v1-backfill,1.0,,,,,,,
2024-09-28,401628373,5,2024,Texas A&M,Arkansas,0.62500268738365,0.5906354547007256,v1-backfill,4.0,,,,,,,
