date,game_id,season,home,away,p_home,p_home_binary,p_elo,model,result
2024-10-28,2024020146,2024,VAN,CAR,0.4404279359007171,0.4407337171085697,0.5076230306203012,v2-decomp-backfill,0.0
2024-10-28,2024020147,2024,VGK,CGY,0.5221167685987792,0.5601987289203684,0.5994278437194996,v2-decomp-backfill,1.0
2024-10-29,2024020148,2024,BOS,PHI,0.5356924897946908,0.5216195276457337,0.6448129353920485,v2-decomp-backfill,0.0
2024-10-29,2024020149,2024,MTL,SEA,0.4040709334174872,0.4238937326766235,0.5174055587770106,v2-decomp-backfill,0.0
2024-10-29,2024020150,2024,OTT,STL,0.5777597251130194,0.573962169223865,0.5246821363580163,v2-decomp-backfill,1.0
2024-10-29,2024020151,2024,WSH,NYR,0.4253317200895781,0.4056319598775479,0.457839938420018,v2-decomp-backfill,1.0
2024-10-29,2024020152,2024,NYI,ANA,0.6774017481265882,0.6758568230181006,0.6322107685059322,v2-decomp-backfill,0.0
2024-10-29,2024020153,2024,PIT,MIN,0.5009438602816049,0.5149241772988591,0.5093774756960361,v2-decomp-backfill,0.0
2024-10-29,2024020154,2024,SJS,LAK,0.2489915109143117,0.2159109160019972,0.3789169087583811,v2-decomp-backfill,1.0
2024-10-30,2024020155,2024,CBJ,NYI,0.4706710841482132,0.4797292121433836,0.5034180076281922,v2-decomp-backfill,1.0
2024-10-30,2024020156,2024,DET,WPG,0.4120824048132954,0.3979584259815091,0.4664942969735254,v2-decomp-backfill,0.0
2024-10-30,2024020157,2024,COL,TBL,0.529014490408927,0.5598940160969387,0.559989929146169,v2-decomp-backfill,0.0
2024-10-30,2024020158,2024,UTA,CGY,0.4838598722264758,0.4903514676513245,0.5061072451955324,v2-decomp-backfill,1.0
2024-10-30,2024020159,2024,VAN,NJD,0.5588217774629991,0.5248697296803206,0.5995738500465664,v2-decomp-backfill,0.0
2024-10-30,2024020160,2024,LAK,VGK,0.469009872719724,0.4290553348425922,0.5109918874660404,v2-decomp-backfill,1.0
2024-10-31,2024020161,2024,TOR,SEA,0.609392609432076,0.6151750356573608,0.608070552784146,v2-decomp-backfill,1.0
2024-10-31,2024020162,2024,PHI,STL,0.551256775174584,0.5474645570494574,0.5028818815505578,v2-decomp-backfill,1.0
2024-10-31,2024020163,2024,PIT,ANA,0.5851470318225378,0.6053727385950067,0.6105503362514083,v2-decomp-backfill,1.0
2024-10-31,2024020164,2024,WSH,MTL,0.6831150114630009,0.6696146001440232,0.6237824545320255,v2-decomp-backfill,1.0
2024-10-31,2024020165,2024,CAR,BOS,0.6980130266877193,0.6964709508124807,0.6045125992627958,v2-decomp-backfill,1.0
2024-10-31,2024020166,2024,NSH,EDM,0.5261875186977955,0.5235952741042842,0.5055283587919773,v2-decomp-backfill,0.0
2024-10-31,2024020167,2024,SJS,CHI,0.4279614356944488,0.4454835528509019,0.5133734358137896,v2-decomp-backfill,1.0
2024-11-01,2024020168,2024,DAL,FLA,0.5276655051214727,0.5150558054202117,0.5331190314290997,v2-decomp-backfill,0.0
2024-11-01,2024020169,2024,BUF,NYI,0.4773068861958045,0.4741698655437236,0.563490296650305,v2-decomp-backfill,0.0
2024-11-01,2024020170,2024,NYR,OTT,0.6114615536245582,0.6217306200463835,0.6484676774343648,v2-decomp-backfill,1.0
2024-11-01,2024020171,2024,CBJ,WPG,0.4418384084355803,0.4307282059668135,0.4148488968979728,v2-decomp-backfill,0.0
2024-11-01,2024020172,2024,MIN,TBL,0.539364311446806,0.5275030753155997,0.5296848116377774,v2-decomp-backfill,1.0
2024-11-01,2024020173,2024,CGY,NJD,0.5314894342325639,0.5086161819197026,0.5381767028392006,v2-decomp-backfill,1.0
2024-11-02,2024020174,2024,FLA,DAL,0.5008093258338274,0.498055788452988,0.5791741418116284,v2-decomp-backfill,1.0
2024-11-02,2024020175,2024,PHI,BOS,0.5421221199695243,0.5428402943901269,0.4767997221471235,v2-decomp-backfill,0.0
2024-11-02,2024020176,2024,LAK,CHI,0.6645742387925699,0.6707203698754701,0.6763080561486756,v2-decomp-backfill,0.0
2024-11-02,2024020177,2024,WSH,CBJ,0.7030159151437666,0.6968283845242186,0.6252733683036789,v2-decomp-backfill,1.0
2024-11-02,2024020178,2024,OTT,SEA,0.5438931753652999,0.5190179808037341,0.5591622004474448,v2-decomp-backfill,1.0
2024-11-02,2024020179,2024,DET,BUF,0.5246446888544749,0.5198875029607685,0.5494036751224198,v2-decomp-backfill,1.0
2024-11-02,2024020180,2024,PIT,MTL,0.6275613947380336,0.6394397762274635,0.5968857084691829,v2-decomp-backfill,1.0
2024-11-02,2024020181,2024,STL,TOR,0.438455114506858,0.4324733275121053,0.5040289485790398,v2-decomp-backfill,1.0
2024-11-02,2024020182,2024,NSH,COL,0.5140248310806538,0.4880393435912136,0.5073837930111051,v2-decomp-backfill,1.0
2024-11-02,2024020183,2024,VGK,UTA,0.6233285929070975,0.6277600800567064,0.6391686082466967,v2-decomp-backfill,1.0
2024-11-02,2024020184,2024,SJS,VAN,0.2921096756151632,0.280834894520503,0.3760721112019935,v2-decomp-backfill,0.0
2024-11-03,2024020185,2024,NYR,NYI,0.6052337241026458,0.6111873217184923,0.6557287081303447,v2-decomp-backfill,1.0
2024-11-03,2024020186,2024,WPG,TBL,0.5957305574821657,0.604731099467161,0.5897953518096631,v2-decomp-backfill,1.0
2024-11-03,2024020187,2024,BOS,SEA,0.554289278994891,0.545757488637745,0.6183115012095141,v2-decomp-backfill,1.0
2024-11-03,2024020188,2024,CAR,WSH,0.7740326698045947,0.7839592595082044,0.6276324523485688,v2-decomp-backfill,1.0
2024-11-03,2024020189,2024,MIN,TOR,0.567828305565234,0.5525826370044847,0.5455581877968498,v2-decomp-backfill,1.0
2024-11-03,2024020190,2024,CGY,EDM,0.4161130234816904,0.4092691073035046,0.4851067590583603,v2-decomp-backfill,0.0
2024-11-03,2024020191,2024,ANA,CHI,0.6590127145052638,0.6607625252263715,0.5682945873468227,v2-decomp-backfill,0.0
2024-11-04,2024020192,2024,NSH,LAK,0.5749836806362235,0.5845428361001115,0.5439148413260516,v2-decomp-backfill,0.0
2024-11-04,2024020193,2024,EDM,NJD,0.5993953995509508,0.5743162092561523,0.6174991655994124,v2-decomp-backfill,0.0
2024-11-05,2024020194,2024,BUF,OTT,0.4901328037268528,0.4945912592790292,0.5406000968548719,v2-decomp-backfill,1.0
2024-11-05,2024020195,2024,TOR,BOS,0.5858424234523105,0.6064631975558188,0.5398229472305974,v2-decomp-backfill,1.0
2024-11-05,2024020196,2024,MTL,CGY,0.3893392932052046,0.3931388964926893,0.488081658701078,v2-decomp-backfill,0.0
2024-11-05,2024020197,2024,CAR,PHI,0.7696702000305469,0.7707814834106438,0.6887279184544524,v2-decomp-backfill,1.0
2024-11-05,2024020198,2024,NYI,PIT,0.5685454977672422,0.5571906739632895,0.5477150092070533,v2-decomp-backfill,1.0
2024-11-05,2024020199,2024,STL,TBL,0.4702455369026167,0.4561056901499056,0.5150315888588627,v2-decomp-backfill,1.0
2024-11-05,2024020200,2024,MIN,LAK,0.6031600603257735,0.6044523222416323,0.5661011032148735,v2-decomp-backfill,0.0
2024-11-05,2024020201,2024,WPG,UTA,0.6678839077177804,0.6864774769019415,0.6778311723853466,v2-decomp-backfill,1.0
2024-11-05,2024020202,2024,COL,SEA,0.6818861183732979,0.7189346300916554,0.6219726219580236,v2-decomp-backfill,1.0
2024-11-05,2024020203,2024,ANA,VAN,0.3799638299224813,0.3628510204360708,0.4130497612591227,v2-decomp-backfill,0.0
2024-11-05,2024020204,2024,SJS,CBJ,0.4081454787782223,0.4162747257926838,0.4731559397641263,v2-decomp-backfill,1.0
2024-11-06,2024020205,2024,WSH,NSH,0.4697571188707387,0.4668302133331894,0.5633274653758158,v2-decomp-backfill,1.0
2024-11-06,2024020206,2024,CHI,DET,0.4437289567119383,0.4409567664861217,0.4593606780510776,v2-decomp-backfill,0.0
2024-11-06,2024020207,2024,EDM,VGK,0.5939806231466377,0.6054945390430834,0.5565957931374472,v2-decomp-backfill,0.0
2024-11-07,2024020208,2024,BOS,CGY,0.5272895102302146,0.5193338596923354,0.59649942629663,v2-decomp-backfill,1.0
2024-11-07,2024020209,2024,OTT,NYI,0.5487889871433994,0.5586407303977454,0.5502114448932041,v2-decomp-backfill,0.0
2024-11-07,2024020210,2024,TBL,PHI,0.6328234903809282,0.6615933653118009,0.6280286429589004,v2-decomp-backfill,0.0
2024-11-07,2024020211,2024,FLA,NSH,0.6395465077632496,0.6675823342338135,0.6619931160486331,v2-decomp-backfill,1.0
2024-11-07,2024020212,2024,NJD,MTL,0.6422920898454196,0.6462200381023059,0.6278680772412878,v2-decomp-backfill,1.0
2024-11-07,2024020213,2024,NYR,BUF,0.6165856823561982,0.6239091433479791,0.6587664842976979,v2-decomp-backfill,0.0
2024-11-07,2024020214,2024,CAR,PIT,0.7185898602728022,0.7138643684000757,0.6714186149093775,v2-decomp-backfill,1.0
